Week,Forecast,Lower Bound,Upper Bound,Route
2025-08-24,33349.93147960359,-57562.110153053174,124261.97311226036,79
2025-08-31,36097.04452017754,-56182.1721999435,128376.26124029857,79
2025-09-07,34867.379152214104,-58759.050680073175,128493.80898450137,79
2025-09-14,35566.846780301945,-59387.68385305627,130521.37741366016,79
2025-09-21,35538.1723538405,-60726.1378159338,131802.4825236148,79
2025-09-28,35193.15915989846,-62363.34722037154,132749.66554016847,79
2025-10-05,38470.99431707059,-60360.81464029298,137302.80327443415,79
2025-10-12,37135.066211870035,-62955.797439344205,137225.92986308428,79
2025-10-19,35117.90874879427,-66216.3673432917,136452.18484088025,79
2025-10-26,36401.68928644778,-66160.92590918895,138964.3044820845,79
2025-11-02,36406.21940749267,-67370.19679787359,140182.63561285893,79
2025-11-09,34576.17450231572,-70400.00891606996,139552.3579207014,79
2025-11-16,35485.259904806684,-70677.13272908085,141647.65253869424,79
2025-11-23,31911.497914716623,-75423.99544331874,139246.99127275197,79
2025-11-30,26459.86494334368,-82036.045850907,134955.77573759435,79
2025-12-07,33736.12783457884,-75907.91980930901,143380.17547846667,79
2025-12-14,31099.421359871685,-79680.86437904622,141879.7070987896,79
2025-12-21,31098.000430010077,-80806.98709537883,143002.98795539897,79
2025-12-28,21977.23998228663,-91041.25743171456,134995.73739628782,79
2026-01-04,7486.1318860042775,-106635.01112605876,121607.27489806732,79
2025-01-12,38244.89858003587,22437.75595164904,54052.0412084227,53
2025-01-19,36952.43411368508,17512.26130071347,56392.606926656685,53
2025-01-26,44358.04850978436,22598.888364915743,66117.20865465299,53
2025-02-02,45525.535116638246,21671.776892369315,69379.29334090717,53
2025-02-09,47024.63866538558,21245.916574604656,72803.36075616651,53
2025-02-16,46351.52245924153,18781.915210578103,73921.12970790497,53
2025-02-23,45561.854092461144,16310.803255655403,74812.9049292669,53
2025-03-02,47039.88247024635,16198.924212286329,77880.84072820639,53
2025-03-09,46215.253286665284,13862.425937559128,78568.08063577145,53
2025-03-16,46736.90259649366,12939.770045152705,80534.03514783461,53
2025-03-23,46250.909602115586,11068.713822080063,81433.10538215112,53
2025-03-30,43094.099775642375,6579.340689533259,79608.85886175149,53
2025-04-06,45412.574003343936,7612.198842131227,83212.94916455664,53
2025-04-13,47238.894926218185,8195.213061667222,86282.57679076915,53
2025-04-20,48919.414504109795,8670.814220968212,89168.01478725138,53
2025-04-27,48688.36240872267,7269.881558214125,90106.84325923122,53
2025-05-04,50969.661842776106,8413.448581070334,93525.87510448188,53
2025-05-11,50516.37571505283,6852.065135500328,94180.68629460534,53
2025-05-18,50617.57919806041,5872.604624378291,95362.55377174253,53
2025-05-25,50634.29585240554,4834.148682212981,96434.4430225981,53
2025-06-01,47702.3753411884,870.8238825495719,94533.92679982723,53
2025-06-08,48792.868308745004,952.1435730663507,96633.59304442366,53
2025-06-15,45689.71500844398,-3139.330389216768,94518.76040610473,53
2025-06-22,45292.5488710223,-4505.206155270316,95090.30389731491,53
2025-06-29,46793.72718457164,-3954.2494930308967,97541.70386217418,53
2025-07-06,43285.382329358,-8395.347813339562,94966.11247205557,53
2025-07-13,46852.166801573185,-5744.777969907285,99449.11157305365,53
2025-07-20,46887.3772440841,-6610.0930746702725,100384.84756283846,53
2025-07-27,46782.486580809535,-7600.599592355036,101165.5727539741,53
2025-08-03,47208.43953467896,-8046.069719586274,102462.9487889442,53
2025-08-10,47061.60941138434,-9050.791393977037,103174.01021674572,53
2025-08-17,46231.122642172806,-10726.24962299897,103188.49490734458,53
